,zipcode,bedrooms,price,weekly_price,monthly_price,cleaning_fee,number_of_reviews,review_scores_rating
4243,11374,2.0,275.0,1650.0,4500.0,75.0,9,98.0
4245,10026,2.0,600.0,3600.0,16800.0,125.0,1,100.0
4249,11233,2.0,500.0,3000.0,5200.0,150.0,11,94.0
4264,11213,2.0,120.0,750.0,2646.0,65.0,175,93.0
4265,10035,2.0,195.0,1155.0,3200.0,320.0,129,96.0
4268,11205,2.0,175.0,1050.0,4900.0,490.0,0,
4270,11221,2.0,179.0,1074.0,5012.0,30.0,137,95.0
4271,11226,2.0,200.0,999.0,5600.0,29.0,27,94.0
4305,11222,2.0,200.0,1200.0,5600.0,560.0,2,100.0
4316,10013,2.0,450.0,2713.0,9575.0,80.0,10,100.0
4320,11222,2.0,154.0,924.0,4312.0,50.0,6,93.0
4327,11231,2.0,180.0,900.0,3500.0,150.0,0,
4328,11238,2.0,100.0,800.0,2800.0,50.0,7,100.0
4334,10128,2.0,180.0,1080.0,5040.0,504.0,0,
4344,11215,2.0,350.0,2100.0,9800.0,150.0,1,94.0
4349,11231,2.0,107.0,950.0,2996.0,90.0,33,92.0
4364,10013,2.0,400.0,2400.0,11200.0,100.0,18,98.0
4374,11222,2.0,134.0,804.0,1900.0,25.0,6,100.0
4390,11101,2.0,395.0,2555.0,9500.0,120.0,46,98.0
4392,10022,2.0,300.0,1800.0,8400.0,125.0,87,85.0
4401,11105,2.0,150.0,950.0,4200.0,100.0,1,100.0
4414,10301,2.0,169.0,1014.0,4732.0,30.0,52,86.0
4431,11216,2.0,176.0,1056.0,4928.0,75.0,158,93.0
4437,10019,2.0,109.0,654.0,3052.0,60.0,184,82.0
4453,10024,2.0,199.0,1050.0,3770.0,99.0,2,90.0
4456,11693,2.0,140.0,840.0,3920.0,392.0,14,94.0
4469,11206,2.0,100.0,600.0,2800.0,125.0,7,94.0
4472,11216,2.0,112.0,672.0,3136.0,25.0,17,95.0
4479,10025,2.0,90.0,540.0,2520.0,50.0,0,
4483,10075,2.0,120.0,720.0,4700.0,430.0,1,100.0
4484,10075,2.0,116.0,696.0,3950.0,430.0,4,85.0
4496,11206,2.0,180.0,1080.0,5040.0,504.0,0,
4499,10075,2.0,120.0,720.0,4600.0,430.0,1,100.0
4504,11213,2.0,125.0,950.0,2700.0,95.0,22,91.0
4518,11226,2.0,175.0,1100.0,4250.0,100.0,9,96.0
4524,11221,2.0,90.0,560.0,2000.0,75.0,60,90.0
4551,11211,2.0,330.0,1980.0,9240.0,100.0,1,100.0
4556,11201,2.0,200.0,600.0,1650.0,90.0,0,
4561,11109,2.0,130.0,780.0,3800.0,0.0,1,100.0
4562,11205,2.0,225.0,1300.0,5000.0,100.0,86,91.0
4565,10032,2.0,85.0,500.0,1000.0,35.0,19,99.0
4576,10032,2.0,130.0,800.0,2900.0,100.0,5,76.0
4587,11231,2.0,200.0,1200.0,5600.0,100.0,7,94.0
4588,11213,2.0,150.0,975.0,2900.0,95.0,23,95.0
4591,11201,2.0,140.0,840.0,3920.0,150.0,1,100.0
4592,10075,2.0,275.0,1650.0,7700.0,50.0,7,91.0
4611,11221,2.0,145.0,850.0,3200.0,75.0,148,99.0
4624,10010,2.0,250.0,1500.0,7000.0,80.0,66,93.0
4635,11215,2.0,195.0,1390.0,5460.0,80.0,3,80.0
4645,11231,2.0,150.0,690.0,2800.0,80.0,39,95.0
4652,10002,2.0,430.0,2580.0,12040.0,159.0,23,91.0
4658,10304,2.0,75.0,340.0,2100.0,210.0,1,80.0
4676,11211,2.0,150.0,800.0,2800.0,50.0,25,91.0
4693,11105,2.0,160.0,1100.0,3600.0,75.0,162,97.0
4697,11222,2.0,199.0,1194.0,4500.0,450.0,4,90.0
4702,11231,2.0,150.0,850.0,4200.0,50.0,0,
4704,10002,2.0,185.0,1500.0,5180.0,518.0,4,95.0
4705,11217,2.0,150.0,900.0,4200.0,100.0,0,
4712,11102,2.0,130.0,1100.0,3500.0,100.0,45,97.0
4717,11215,2.0,155.0,930.0,4500.0,100.0,5,96.0
4727,10027,2.0,125.0,1260.0,3500.0,30.0,20,95.0
4729,11211,2.0,295.0,1770.0,8260.0,100.0,94,97.0
4731,11233,2.0,100.0,600.0,2800.0,50.0,160,93.0
4733,10014,2.0,385.0,2310.0,10780.0,100.0,40,93.0
4748,11231,2.0,149.0,894.0,4172.0,417.20000000000005,2,100.0
4749,10009,2.0,369.0,2400.0,10332.0,129.0,12,95.0
4756,11221,2.0,151.0,1100.0,3700.0,95.0,34,86.0
4762,11226,2.0,115.0,690.0,3220.0,322.0,5,88.0
4766,10019,2.0,250.0,1500.0,7000.0,700.0,0,
4769,11218,2.0,200.0,1200.0,5600.0,150.0,35,97.0
4772,10014,2.0,130.0,1275.0,3640.0,50.0,55,97.0
4780,11217,2.0,180.0,1000.0,3800.0,100.0,167,94.0
4794,11418,2.0,255.0,1500.0,5200.0,75.0,56,100.0
4798,11215,2.0,298.0,1788.0,6000.0,100.0,12,94.0
4807,11206,2.0,100.0,1000.0,3000.0,50.0,2,90.0
4809,11222,2.0,270.0,1700.0,7560.0,60.0,13,100.0
4810,11238,2.0,200.0,1050.0,4000.0,150.0,2,90.0
4811,10012,2.0,161.0,966.0,4508.0,450.8,0,
4818,11211,2.0,210.0,1400.0,5880.0,50.0,4,95.0
4820,11232,2.0,135.0,810.0,3780.0,150.0,129,97.0
4830,11233,2.0,135.0,899.0,3850.0,80.0,270,94.0
4836,10026,2.0,142.0,1017.0,3976.0,397.6,160,95.0
4858,,2.0,175.0,800.0,2500.0,150.0,3,100.0
4869,10009,2.0,225.0,1350.0,6300.0,80.0,0,
4872,10016,2.0,100.0,975.0,3900.0,390.0,6,80.0
4876,11217,2.0,245.0,1470.0,3800.0,85.0,3,93.0
4877,10024,2.0,300.0,1800.0,8400.0,840.0,88,93.0
4900,10012,2.0,320.0,2200.0,7500.0,120.0,145,93.0
4906,11204,2.0,219.0,1500.0,4000.0,100.0,4,95.0
4910,11222,2.0,100.0,600.0,2800.0,280.0,1,100.0
4913,11221,2.0,140.0,975.0,2300.0,50.0,56,89.0
4914,11205,2.0,200.0,1200.0,5600.0,100.0,38,93.0
4916,11215,2.0,200.0,1200.0,5600.0,95.0,14,99.0
4923,10028,2.0,750.0,5000.0,18800.0,150.0,0,
4932,11385,2.0,70.0,420.0,1960.0,196.0,0,
4938,10128,2.0,250.0,1500.0,7000.0,100.0,20,99.0
